Age;Attrition;Department;Education;EducationField;EnvironmentSatisfaction;Gender;HourlyRate;JobRole;MaritalStatus;MonthlyIncome;RelationshipSatisfaction;WorkLifeBalance;YearsSinceLastPromotion
41;Yes;Sales;2;Life Sciences;2;Female;94;Sales Executive;Single;5993;1;1;0
49;No;Research & Development;1;Life Sciences;3;Male;61;Research Scientist;Married;5130;4;3;1
37;Yes;Research & Development;2;Other;4;Male;92;Laboratory Technician;Single;2090;2;3;0
33;No;Research & Development;4;Life Sciences;4;Female;56;Research Scientist;Married;2909;3;3;3
27;No;Research & Development;1;Medical;1;Male;40;Laboratory Technician;Married;3468;4;3;2
32;No;Research & Development;2;Life Sciences;4;Male;79;Laboratory Technician;Single;3068;3;2;3
59;No;Research & Development;3;Medical;3;Female;81;Laboratory Technician;Married;2670;1;2;0
30;No;Research & Development;1;Life Sciences;4;Male;67;Laboratory Technician;Divorced;2693;2;3;0
38;No;Research & Development;3;Life Sciences;4;Male;44;Manufacturing Director;Single;9526;2;3;1
36;No;Research & Development;3;Medical;3;Male;94;Healthcare Representative;Married;5237;2;2;7
35;No;Research & Development;3;Medical;1;Male;84;Laboratory Technician;Married;2426;3;3;0
29;No;Research & Development;2;Life Sciences;4;Female;49;Laboratory Technician;Single;4193;4;3;0
31;No;Research & Development;1;Life Sciences;1;Male;31;Research Scientist;Divorced;2911;4;2;4
34;No;Research & Development;2;Medical;2;Male;93;Laboratory Technician;Divorced;2661;3;3;1
28;Yes;Research & Development;3;Life Sciences;3;Male;50;Laboratory Technician;Single;2028;2;3;0
29;No;Research & Development;4;Life Sciences;2;Female;51;Manufacturing Director;Divorced;9980;3;3;8
32;No;Research & Development;2;Life Sciences;1;Male;80;Research Scientist;Divorced;3298;4;2;0
22;No;Research & Development;2;Medical;4;Male;96;Laboratory Technician;Divorced;2935;2;2;0
53;No;Sales;4;Life Sciences;1;Female;78;Manager;Married;15427;3;3;3
38;No;Research & Development;3;Life Sciences;4;Male;45;Research Scientist;Single;3944;3;3;1
24;No;Research & Development;2;Other;1;Female;96;Manufacturing Director;Divorced;4011;4;2;1
36;Yes;Sales;4;Life Sciences;3;Male;82;Sales Representative;Single;3407;2;3;0
34;No;Research & Development;4;Life Sciences;1;Female;53;Research Director;Single;11994;3;3;2
21;No;Research & Development;2;Life Sciences;3;Male;96;Research Scientist;Single;1232;4;3;0
34;Yes;Research & Development;1;Medical;2;Male;83;Research Scientist;Single;2960;3;3;1
53;No;Research & Development;3;Other;3;Female;58;Manager;Divorced;19094;4;2;4
32;Yes;Research & Development;1;Life Sciences;2;Female;72;Research Scientist;Single;3919;2;3;6
42;No;Sales;4;Marketing;3;Male;48;Sales Executive;Married;6825;4;3;4
44;No;Research & Development;4;Medical;1;Female;42;Healthcare Representative;Married;10248;4;3;5
46;No;Sales;4;Marketing;2;Female;83;Manager;Single;18947;4;2;2
33;No;Research & Development;3;Medical;3;Male;78;Laboratory Technician;Single;2496;4;3;0
44;No;Research & Development;4;Other;4;Male;41;Healthcare Representative;Married;6465;4;4;1
30;No;Research & Development;2;Medical;4;Male;83;Laboratory Technician;Single;2206;1;3;1
39;Yes;Sales;3;Technical Degree;4;Male;56;Sales Representative;Married;2086;3;4;0
24;Yes;Research & Development;3;Medical;2;Male;61;Research Scientist;Married;2293;1;2;2
43;No;Research & Development;2;Medical;4;Female;72;Research Scientist;Divorced;2645;4;2;1
50;Yes;Sales;2;Marketing;1;Male;86;Sales Representative;Married;2683;3;3;0
35;No;Sales;3;Marketing;4;Female;97;Sales Representative;Married;2014;1;3;2
36;No;Research & Development;4;Life Sciences;2;Female;82;Research Scientist;Married;3419;4;4;0
33;No;Sales;3;Life Sciences;3;Female;42;Sales Executive;Married;5376;1;3;1
